Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.979812,-0.157512,-3.41916,-3.35117,-0.157512,1
1,19,99,-1.00382,-0.183136,-3.41916,-3.35117,-0.183136,1
1,18,99,-0.84216,-0.639314,-3.41916,-3.35117,-0.639314,1
1,17,99,-1.38611,-0.211401,-3.41916,-3.35117,-0.211401,1
1,15,99,-0.894711,-0.731959,-3.41916,-3.35117,-0.731959,1
1,13,99,-0.612284,-1.32203,-3.41916,-3.35117,-1.32203,0
1,12,99,-0.961568,-0.505999,-3.41916,-3.35117,-0.961568,1
1,10,99,0.338652,-0.775557,-3.41916,-3.35117,-0.775557,0
1,9,99,-1.13393,-0.2936,-3.41916,-3.35117,-0.2936,1
1,7,99,-0.499849,-1.01347,-3.41916,-3.35117,-1.01347,0
1,4,99,-0.552758,-0.928938,-3.41916,-3.35117,-0.928938,0
1,3,99,-0.171054,-0.213554,-3.41916,-3.35117,-0.213554,0
1,2,99,0.105249,-0.0928446,-3.41916,-3.35117,-0.0928446,0
1,1,99,0.0106723,-0.894475,-3.41916,-3.35117,-0.894475,0
1,20,98,-1.35954,-0.359989,-3.41916,-3.12829,-0.359989,1
1,19,98,-0.788979,-0.000214074,-3.41916,-3.12829,-0.000214074,1
1,18,98,-0.951343,-0.652639,-3.41916,-3.12829,-0.652639,1
1,17,98,-1.01257,-0.176215,-3.41916,-3.12829,-0.176215,1
1,15,98,-1.14219,-0.70163,-3.41916,-3.12829,-0.70163,1
1,13,98,-0.542212,-1.2804,-3.41916,-3.12829,-0.542212,0
1,12,98,-0.782375,-0.402949,-3.41916,-3.12829,-0.402949,1
1,9,98,-0.565237,-0.190814,-3.41916,-3.12829,-0.190814,1
1,7,98,-0.548407,-1.15981,-3.41916,-3.12829,-1.15981,0
1,4,98,-0.583007,-0.588931,-3.41916,-3.12829,-0.588931,0
1,3,98,0.214977,0.185854,-3.41916,-3.12829,0.185854,0
1,2,98,-0.0492367,-0.41561,-3.41916,-3.12829,-0.41561,0
1,1,98,-0.454204,-0.858114,-3.41916,-3.12829,-0.858114,0
1,20,97,-0.931747,-0.123879,-3.41916,-2.81209,-0.931747,1
1,19,97,-1.01851,-0.475564,-3.41916,-2.81209,-0.475564,1
1,18,97,-0.615026,-0.342359,-3.41916,-2.81209,-0.342359,1
1,17,97,-1.08962,-0.262685,-3.41916,-2.81209,-0.262685,1
1,15,97,-0.67926,-0.454943,-3.41916,-2.81209,-0.454943,1
1,13,97,-0.425355,-1.23501,-3.41916,-2.81209,-1.23501,0
1,12,97,-0.706436,-0.34175,-3.41916,-2.81209,-0.34175,1
1,7,97,-0.512818,-1.0663,-3.41916,-2.81209,-1.0663,0
1,4,97,-0.461491,-0.846843,-3.41916,-2.81209,-0.846843,0
1,3,97,-0.0136427,-0.272865,-3.41916,-2.81209,-0.272865,0
1,2,97,0.0822516,-0.209106,-3.41916,-2.81209,-0.209106,0
1,20,96,-0.929203,-0.0517811,-3.41916,-2.99602,-0.0517811,1
1,19,96,-0.677015,0.0195385,-3.41916,-2.99602,0.0195385,1
1,18,96,-0.792398,-0.631708,-3.41916,-2.99602,-0.631708,1
1,17,96,-0.791507,-0.0562335,-3.41916,-2.99602,-0.0562335,1
1,15,96,-0.744944,-0.275256,-3.41916,-2.99602,-0.275256,1
1,13,96,-0.519745,-1.25918,-3.41916,-2.99602,-0.519745,0
1,12,96,-0.593301,-0.236156,-3.41916,-2.99602,-0.236156,1
1,9,96,-0.386175,-0.000638301,-3.41916,-2.99602,-0.000638301,1
1,7,96,-0.362488,-0.913842,-3.41916,-2.99602,-0.913842,0
1,4,96,-0.565668,-0.841455,-3.41916,-2.99602,-0.841455,0
1,3,96,0.230004,-0.248656,-3.41916,-2.99602,-0.248656,0
1,2,96,-0.0642432,-0.463885,-3.41916,-2.99602,-0.463885,0
1,19,95,-0.588546,0.0984959,-3.41916,-2.85377,0.0984959,1
1,17,95,-1.15681,-0.0388214,-3.41916,-2.85377,-0.0388214,1
1,15,95,-0.814539,-0.264474,-3.41916,-2.85377,-0.264474,1
1,13,95,-0.310176,-1.02589,-3.41916,-2.85377,-1.02589,0
1,7,95,-0.351626,-0.823861,-3.41916,-2.85377,-0.823861,0
1,4,95,-0.270542,-0.661333,-3.41916,-2.85377,-0.661333,0
1,2,95,0.297648,0.165395,-3.41916,-2.85377,0.165395,0
1,1,95,0.632836,-0.763184,-3.41916,-2.85377,-0.763184,0
1,19,94,-0.289785,0.148404,-3.41916,-2.55553,0.148404,1
1,17,94,-0.746403,0.0603943,-3.41916,-2.55553,0.0603943,1
1,15,94,-0.432654,-0.0452116,-3.41916,-2.55553,-0.0452116,1
1,13,94,-0.288864,-0.69419,-3.41916,-2.55553,-0.69419,0
1,7,94,-0.242755,-0.78478,-3.41916,-2.55553,-0.78478,0
1,4,94,-0.41388,-0.692121,-3.41916,-2.55553,-0.692121,0
1,2,94,0.0858751,-0.432598,-3.41916,-2.55553,-0.432598,0
1,1,94,-0.259866,-0.712853,-3.41916,-2.55553,-0.712853,0
1,19,93,-0.380139,0.177919,-3.41916,-2.51688,0.177919,1
1,17,93,-0.654933,0.100878,-3.41916,-2.51688,0.100878,1
1,15,93,-0.479395,-0.398627,-3.41916,-2.51688,-0.398627,1
1,13,93,-0.318871,-0.742239,-3.41916,-2.51688,-0.742239,0
1,7,93,-0.166124,-0.696733,-3.41916,-2.51688,-0.696733,0
1,4,93,-0.259145,-0.600661,-3.41916,-2.51688,-0.600661,0
1,2,93,-0.212962,-0.41088,-3.41916,-2.51688,-0.41088,0
1,1,93,0.362861,-0.846375,-3.41916,-2.51688,-0.846375,0
1,19,92,-0.391517,0.174782,-6.43894,-2.39982,0.174782,1
1,17,92,-0.503249,0.369853,-6.43894,-2.39982,0.369853,1
1,15,92,-0.414522,-0.0475646,-6.43894,-2.39982,-0.0475646,1
1,13,92,-0.201531,-0.276311,-6.43894,-2.39982,-0.276311,0
1,7,92,-0.10343,-0.619218,-6.43894,-2.39982,-0.619218,0
1,4,92,0.304613,-0.430006,-6.43894,-2.39982,-0.430006,0
1,2,92,0.0315725,-0.115856,-6.43894,-2.39982,-0.115856,0
1,1,92,-0.038421,-0.473567,-6.43894,-2.39982,-0.473567,0
1,19,91,-0.118052,0.249314,-6.29331,-2.45927,0.249314,1
1,17,91,-0.478775,0.346236,-6.29331,-2.45927,0.346236,1
1,15,91,-0.39873,-0.0340049,-6.29331,-2.45927,-0.39873,1
1,13,91,0.113937,-0.36419,-6.29331,-2.45927,-0.36419,0
1,7,91,0.0650522,-0.549402,-6.29331,-2.45927,-0.549402,0
1,4,91,-0.166474,-0.324649,-6.29331,-2.45927,-0.324649,0
1,2,91,0.108443,0.118952,-6.29331,-2.45927,0.118952,1
1,1,91,-0.0364205,-0.636213,-6.29331,-2.45927,-0.636213,0
1,19,90,-0.00963015,0.225581,-6.05291,-2.36134,0.225581,1
1,17,90,-0.524733,0.322576,-6.05291,-2.36134,0.322576,1
1,15,90,-0.142192,0.115654,-6.05291,-2.36134,0.115654,1
1,13,90,0.0552498,-0.0983604,-6.05291,-2.36134,-0.0983604,0
1,7,90,0.101848,-0.64646,-6.05291,-2.36134,-0.64646,0
1,4,90,-0.131566,-0.309831,-6.05291,-2.36134,-0.309831,0
1,2,90,0.218947,-0.0747701,-6.05291,-2.36134,-0.0747701,0
1,1,90,0.224565,-0.589772,-6.05291,-2.36134,-0.589772,0
1,19,89,-0.419899,0.184055,-5.75042,-2.39784,0.184055,1
1,17,89,-0.226504,0.443246,-5.75042,-2.39784,-0.226504,1
1,15,89,-0.227159,0.144858,-5.75042,-2.39784,0.144858,1
1,13,89,0.0812434,-0.0536705,-5.75042,-2.39784,-0.0536705,0
1,7,89,0.199162,-0.365966,-5.75042,-2.39784,-0.365966,0
1,4,89,-0.0280679,-0.268073,-5.75042,-2.39784,-0.268073,0
1,2,89,0.325508,0.0945345,-5.75042,-2.39784,0.0945345,0
1,1,89,0.276692,0.445796,-5.75042,-2.39784,0.445796,1
1,19,88,-0.266343,0.321045,-5.55605,-2.24038,-0.266343,1
1,17,88,-0.123675,0.471666,-5.55605,-2.24038,0.471666,1
1,15,88,-0.245893,0.11412,-5.55605,-2.24038,0.11412,1
1,13,88,0.354983,0.00818656,-5.55605,-2.24038,0.00818656,0
1,7,88,0.20585,-0.323322,-5.55605,-2.24038,-0.323322,0
1,4,88,0.254252,-0.150115,-5.55605,-2.24038,-0.150115,0
1,2,88,0.460876,0.215638,-5.55605,-2.24038,0.215638,0
1,1,88,0.396768,-0.375643,-5.55605,-2.24038,-0.375643,0
1,19,87,-0.188984,0.402059,-5.60239,-2.09737,0.402059,1
1,17,87,-0.530393,0.279053,-5.60239,-2.09737,0.279053,1
1,15,87,0.00194025,0.215936,-5.60239,-2.09737,0.215936,1
1,13,87,0.302644,0.107527,-5.60239,-2.09737,0.107527,0
1,7,87,0.190516,-0.283989,-5.60239,-2.09737,-0.283989,0
1,4,87,0.461724,-0.0661773,-5.60239,-2.09737,-0.0661773,0
1,2,87,0.521079,0.235622,-5.60239,-2.09737,0.235622,0
1,1,87,0.527838,-0.318425,-5.60239,-2.09737,-0.318425,0
1,19,86,-0.18393,0.428832,-5.61978,-2.01828,0.428832,1
1,17,86,-0.351693,0.497995,-5.61978,-2.01828,-0.351693,1
1,15,86,-0.0154639,0.336015,-5.61978,-2.01828,0.336015,1
1,13,86,0.310699,0.149208,-5.61978,-2.01828,0.310699,0
1,7,86,0.535343,-0.202695,-5.61978,-2.01828,-0.202695,0
1,4,86,0.419425,0.0138691,-5.61978,-2.01828,0.0138691,0
1,2,86,0.4996,0.211573,-5.61978,-2.01828,0.211573,0
1,1,86,0.527893,-0.227162,-5.61978,-2.01828,-0.227162,0
1,19,85,-0.256264,0.0770057,-5.14185,-2.10808,0.0770057,1
1,17,85,-0.0567385,-0.377662,-5.14185,-2.10808,-0.377662,0
1,15,85,-0.315315,-0.494769,-5.14185,-2.10808,-0.494769,0
1,13,85,0.0149923,0.0978836,-5.14185,-2.10808,0.0978836,1
1,7,85,0.511309,0.033896,-5.14185,-2.10808,0.033896,0
1,4,85,0.58221,0.845333,-5.14185,-2.10808,0.845333,1
1,2,85,0.681675,0.412026,-5.14185,-2.10808,0.412026,0
1,1,85,0.520969,0.580306,-5.14185,-2.10808,0.580306,1
1,19,84,-0.0671283,0.120817,-5.35927,-2.00544,0.120817,1
1,17,84,-0.0218909,-0.360445,-5.35927,-2.00544,-0.360445,0
1,15,84,0.00180686,-0.222355,-5.35927,-2.00544,-0.222355,0
1,13,84,0.087263,0.0465526,-5.35927,-2.00544,0.0465526,0
1,7,84,0.440453,-0.0187635,-5.35927,-2.00544,-0.0187635,0
1,4,84,0.690803,0.912143,-5.35927,-2.00544,0.912143,1
1,2,84,0.630123,0.51246,-5.35927,-2.00544,0.51246,0
1,1,84,0.531133,0.722057,-5.35927,-2.00544,0.722057,1
1,19,83,0.109132,0.271463,-5.22327,-1.89942,0.109132,1
1,17,83,0.121745,-0.527012,-5.22327,-1.89942,-0.527012,0
1,15,83,0.18619,-0.0358532,-5.22327,-1.89942,-0.0358532,0
1,13,83,-0.395002,-0.253112,-5.22327,-1.89942,-0.253112,1
1,7,83,0.558112,-0.112616,-5.22327,-1.89942,-0.112616,0
1,4,83,0.750225,0.952465,-5.22327,-1.89942,0.952465,1
1,2,83,0.668248,0.477387,-5.22327,-1.89942,0.477387,0
1,1,83,0.742743,0.710995,-5.22327,-1.89942,0.710995,0
1,19,82,-0.217636,0.138283,-5.04662,-1.89873,0.138283,1
1,17,82,0.169633,-0.343906,-5.04662,-1.89873,0.169633,0
1,15,82,0.192926,-0.0331861,-5.04662,-1.89873,-0.0331861,0
1,13,82,-0.0243109,0.239121,-5.04662,-1.89873,0.239121,1
1,9,82,0.804561,0.528104,-5.04662,-1.89873,0.528104,0
1,7,82,0.668809,0.188561,-5.04662,-1.89873,0.188561,0
1,4,82,0.796416,0.906572,-5.04662,-1.89873,0.906572,1
1,2,82,0.743188,0.478992,-5.04662,-1.89873,0.478992,0
1,1,82,0.830013,0.797279,-5.04662,-1.89873,0.797279,0
1,19,81,-0.12675,0.140437,-4.70389,-1.77463,0.140437,1
1,17,81,0.381357,-0.157326,-4.70389,-1.77463,-0.157326,0
1,15,81,0.0579932,-0.0326107,-4.70389,-1.77463,-0.0326107,0
1,13,81,0.105338,0.374045,-4.70389,-1.77463,0.374045,1
1,7,81,0.629069,0.209928,-4.70389,-1.77463,0.209928,0
1,4,81,0.740376,1.0272,-4.70389,-1.77463,1.0272,1
1,2,81,0.774318,0.664415,-4.70389,-1.77463,0.664415,0
1,1,81,0.896083,0.824585,-4.70389,-1.77463,0.824585,0
1,19,80,0.107606,0.298729,-4.82344,-1.66435,0.298729,1
1,17,80,0.201032,-0.437176,-4.82344,-1.66435,-0.437176,0
1,15,80,0.101223,-0.0437382,-4.82344,-1.66435,-0.0437382,0
1,13,80,0.121908,0.380883,-4.82344,-1.66435,0.380883,1
1,7,80,0.63596,0.23749,-4.82344,-1.66435,0.23749,0
1,4,80,0.926618,1.08493,-4.82344,-1.66435,1.08493,1
1,2,80,0.867242,0.519096,-4.82344,-1.66435,0.519096,0
1,1,80,1.00332,0.837632,-4.82344,-1.66435,0.837632,0
1,19,79,0.00319781,0.265421,-4.30456,-1.7295,0.265421,1
1,17,79,0.193212,-0.38903,-4.30456,-1.7295,-0.38903,0
1,15,79,0.329158,0.0781896,-4.30456,-1.7295,0.0781896,0
1,13,79,0.0783299,0.385573,-4.30456,-1.7295,0.385573,1
1,9,79,0.685838,0.389142,-4.30456,-1.7295,0.389142,0
1,7,79,0.778896,0.295527,-4.30456,-1.7295,0.295527,0
1,4,79,0.984421,1.05388,-4.30456,-1.7295,1.05388,1
1,2,79,0.720655,0.573801,-4.30456,-1.7295,0.573801,0
1,1,79,1.07478,0.946767,-4.30456,-1.7295,0.946767,0
1,19,78,0.179656,0.417391,-4.65291,-1.66623,0.417391,1
1,17,78,0.405474,-0.0885236,-4.65291,-1.66623,-0.0885236,0
1,15,78,0.140222,-0.091975,-4.65291,-1.66623,-0.091975,0
1,13,78,0.023193,0.299374,-4.65291,-1.66623,0.299374,1
1,9,78,0.994911,0.860112,-4.65291,-1.66623,0.860112,0
1,7,78,0.622857,0.358089,-4.65291,-1.66623,0.358089,0
1,4,78,1.01572,1.18677,-4.65291,-1.66623,1.18677,1
1,2,78,0.973756,0.652192,-4.65291,-1.66623,0.652192,0
1,1,78,1.07616,0.774044,-4.65291,-1.66623,0.774044,0
1,19,77,0.175638,0.502884,-4.67517,-1.58996,0.502884,1
1,17,77,0.488903,-0.141849,-4.67517,-1.58996,-0.141849,0
1,15,77,0.290753,-0.0963402,-4.67517,-1.58996,-0.0963402,0
1,13,77,0.403258,0.615336,-4.67517,-1.58996,0.615336,1
1,9,77,1.20804,1.0133,-4.67517,-1.58996,1.0133,0
1,7,77,0.505505,0.361655,-4.67517,-1.58996,0.361655,0
1,4,77,1.04803,1.16315,-4.67517,-1.58996,1.16315,1
1,2,77,0.98105,0.817823,-4.67517,-1.58996,0.817823,0
1,1,77,1.218,0.994081,-4.67517,-1.58996,0.994081,0
1,19,76,0.394619,0.488796,-4.75214,-1.45125,0.488796,1
1,17,76,0.648022,0.0368266,-4.75214,-1.45125,0.0368266,0
1,15,76,0.477366,0.114395,-4.75214,-1.45125,0.114395,0
1,13,76,0.221337,0.405289,-4.75214,-1.45125,0.405289,1
1,9,76,1.20973,1.1303,-4.75214,-1.45125,1.1303,0
1,7,76,0.954068,0.508586,-4.75214,-1.45125,0.508586,0
1,4,76,1.00781,1.29404,-4.75214,-1.45125,1.29404,1
1,2,76,0.915579,0.78702,-4.75214,-1.45125,0.78702,0
1,1,76,1.25289,1.08086,-4.75214,-1.45125,1.08086,0
1,19,75,-0.0938557,0.178348,-4.90201,-1.41384,0.178348,1
1,17,75,0.592925,-0.0131225,-4.90201,-1.41384,-0.0131225,0
1,15,75,0.451923,0.120928,-4.90201,-1.41384,0.120928,0
1,13,75,0.235775,0.452146,-4.90201,-1.41384,0.452146,1
1,9,75,1.24988,1.06195,-4.90201,-1.41384,1.06195,0
1,7,75,1.09154,0.640753,-4.90201,-1.41384,0.640753,0
1,4,75,1.05759,1.5136,-4.90201,-1.41384,1.5136,1
1,2,75,0.934221,0.885616,-4.90201,-1.41384,0.885616,0
1,1,75,1.1566,1.07852,-4.90201,-1.41384,1.07852,0
1,19,74,0.148965,0.263193,-4.86797,-1.45906,0.263193,1
1,17,74,0.393087,-0.0714172,-4.86797,-1.45906,0.393087,0
1,15,74,0.759807,0.371376,-4.86797,-1.45906,0.371376,0
1,13,74,0.506007,0.653525,-4.86797,-1.45906,0.653525,1
1,9,74,1.31556,1.04918,-4.86797,-1.45906,1.04918,0
1,7,74,1.10222,0.663067,-4.86797,-1.45906,0.663067,0
1,4,74,1.08763,1.43396,-4.86797,-1.45906,1.43396,1
1,2,74,1.0825,0.8491,-4.86797,-1.45906,0.8491,0
1,1,74,1.23531,1.07367,-4.86797,-1.45906,1.07367,0
1,19,73,0.325827,0.412827,-4.58061,-1.30758,0.412827,1
1,17,73,0.510478,-0.469656,-4.58061,-1.30758,-0.469656,0
1,15,73,0.717394,0.500603,-4.58061,-1.30758,0.500603,0
1,13,73,0.509587,0.70011,-4.58061,-1.30758,0.70011,1
1,9,73,1.3598,1.33972,-4.58061,-1.30758,1.33972,0
1,7,73,1.03957,0.654657,-4.58061,-1.30758,0.654657,0
1,4,73,1.22225,1.55919,-4.58061,-1.30758,1.55919,1
1,2,73,1.20903,0.786519,-4.58061,-1.30758,0.786519,0
1,1,73,1.22626,1.2204,-4.58061,-1.30758,1.2204,0
1,19,72,0.252738,0.410532,-4.69937,-1.21867,0.410532,1
1,17,72,0.730134,-0.176122,-4.69937,-1.21867,-0.176122,0
1,15,72,0.707967,0.630932,-4.69937,-1.21867,0.630932,0
1,13,72,0.849249,0.976761,-4.69937,-1.21867,0.976761,1
1,9,72,1.32779,1.30867,-4.69937,-1.21867,1.30867,0
1,7,72,1.13814,0.761112,-4.69937,-1.21867,0.761112,0
1,4,72,1.3345,1.64447,-4.69937,-1.21867,1.64447,1
1,2,72,1.09489,0.96514,-4.69937,-1.21867,0.96514,0
1,1,72,1.27539,1.37917,-4.69937,-1.21867,1.37917,1
1,19,71,0.0328642,0.390669,-4.4203,-1.13959,0.390669,1
1,17,71,0.865557,-0.0743612,-4.4203,-1.13959,0.865557,0
1,15,71,0.371476,0.577962,-4.4203,-1.13959,0.577962,1
1,13,71,0.74801,0.860905,-4.4203,-1.13959,0.860905,1
1,7,71,1.12476,0.797924,-4.4203,-1.13959,0.797924,0
1,4,71,1.43023,1.70792,-4.4203,-1.13959,1.70792,1
1,2,71,1.31835,1.15516,-4.4203,-1.13959,1.15516,0
1,1,71,1.25014,1.22051,-4.4203,-1.13959,1.22051,0
1,19,70,0.826493,0.444591,-4.23657,-1.06699,0.444591,0
1,17,70,0.344467,0.874476,-4.23657,-1.06699,0.874476,1
1,15,70,0.968748,0.441048,-4.23657,-1.06699,0.441048,0
1,13,70,0.746221,1.17666,-4.23657,-1.06699,1.17666,1
1,7,70,1.49021,1.44188,-4.23657,-1.06699,1.44188,0
1,16,86,-0.056883,0.50071,-5.61978,-2.01828,0.50071,1
1,5,70,1.53353,1.57031,-4.23657,-1.06699,1.57031,1
1,4,70,1.42277,1.77913,-4.23657,-1.06699,1.77913,1
1,2,70,1.41614,1.72126,-4.23657,-1.06699,1.72126,1
1,1,70,1.41095,1.55295,-4.23657,-1.06699,1.55295,1
1,19,69,0.762717,0.417752,-4.38821,-0.937499,0.417752,0
1,9,87,0.386671,0.598404,-5.60239,-2.09737,0.598404,1
1,18,69,0.764619,0.92544,-4.38821,-0.937499,0.92544,1
1,17,69,0.372862,0.839806,-4.38821,-0.937499,0.839806,1
1,15,69,1.16726,0.585981,-4.38821,-0.937499,0.585981,0
1,13,69,0.462547,0.793494,-4.38821,-0.937499,0.793494,1
1,9,69,1.48519,1.48664,-4.38821,-0.937499,1.48664,1
1,7,69,1.45007,1.46162,-4.38821,-0.937499,1.46162,1
1,16,81,0.364598,-0.216925,-4.70389,-1.77463,-0.216925,0
1,5,69,1.54737,1.58077,-4.38821,-0.937499,1.58077,1
1,4,69,1.46398,1.77801,-4.38821,-0.937499,1.77801,1
1,2,69,1.48631,1.74571,-4.38821,-0.937499,1.74571,1
1,1,69,1.43018,1.66743,-4.38821,-0.937499,1.66743,1
1,19,68,0.654837,0.371748,-4.27007,-1.01066,0.371748,0
1,17,68,0.705573,1.12457,-4.27007,-1.01066,1.12457,1
1,15,68,1.14637,0.482234,-4.27007,-1.01066,0.482234,0
1,13,68,0.750699,1.01003,-4.27007,-1.01066,1.01003,1
1,9,68,1.49716,1.60028,-4.27007,-1.01066,1.60028,1
1,7,68,1.62292,1.73888,-4.27007,-1.01066,1.73888,1
1,4,68,1.59998,1.88464,-4.27007,-1.01066,1.88464,1
1,2,68,1.59338,1.80851,-4.27007,-1.01066,1.80851,1
1,1,68,1.45338,1.68034,-4.27007,-1.01066,1.68034,1
1,19,67,0.845649,0.527671,-4.33476,-0.933887,0.527671,0
1,9,81,0.891801,0.651817,-4.70389,-1.77463,0.651817,0
1,18,67,0.583453,1.03904,-4.33476,-0.933887,1.03904,1
1,17,67,0.611098,1.10683,-4.33476,-0.933887,1.10683,1
1,15,67,1.13064,0.47055,-4.33476,-0.933887,0.47055,0
1,13,67,0.75851,1.12318,-4.33476,-0.933887,1.12318,1
1,7,67,1.5996,1.7791,-4.33476,-0.933887,1.7791,1
1,4,67,1.59309,1.91507,-4.33476,-0.933887,1.91507,1
1,3,67,1.66398,1.83878,-4.33476,-0.933887,1.83878,1
1,2,67,1.59238,1.74594,-4.33476,-0.933887,1.74594,1
1,1,67,1.55787,1.66602,-4.33476,-0.933887,1.66602,1
1,19,66,0.780002,0.475899,-4.06104,-0.806488,0.475899,0
1,9,86,0.321094,0.620552,-5.61978,-2.01828,0.620552,1
1,18,66,0.723858,1.24788,-4.06104,-0.806488,1.24788,1
1,17,66,0.466992,1.1156,-4.06104,-0.806488,0.466992,1
1,15,66,1.48898,0.810856,-4.06104,-0.806488,0.810856,0
1,13,66,0.702651,1.031,-4.06104,-0.806488,1.031,1
1,7,66,1.40381,1.67762,-4.06104,-0.806488,1.67762,1
1,4,66,1.70386,1.99754,-4.06104,-0.806488,1.99754,1
1,2,66,1.59727,1.82174,-4.06104,-0.806488,1.82174,1
1,1,66,1.65628,1.80422,-4.06104,-0.806488,1.80422,1
1,19,65,0.797147,0.461084,-4.11009,-0.783219,0.461084,0
1,9,83,0.794114,0.482176,-5.22327,-1.89942,0.482176,0
1,18,65,0.724558,1.22844,-4.11009,-0.783219,1.22844,1
1,17,65,0.667438,1.14757,-4.11009,-0.783219,0.667438,1
1,15,65,1.46628,0.741238,-4.11009,-0.783219,0.741238,0
1,13,65,0.786444,1.04523,-4.11009,-0.783219,1.04523,1
1,9,65,1.81009,1.33032,-4.11009,-0.783219,1.33032,0
1,7,65,1.72199,1.84104,-4.11009,-0.783219,1.84104,1
1,16,85,0.174181,-0.304443,-5.14185,-2.10808,-0.304443,0
1,5,65,1.74036,1.9318,-4.11009,-0.783219,1.9318,1
1,4,65,1.7637,1.94989,-4.11009,-0.783219,1.94989,1
1,3,65,1.77431,1.84001,-4.11009,-0.783219,1.84001,1
1,2,65,1.71152,1.77443,-4.11009,-0.783219,1.77443,1
1,1,65,1.60781,1.85502,-4.11009,-0.783219,1.85502,1
1,19,64,0.693438,0.356059,-3.84075,-0.813937,0.356059,0
1,9,80,0.755624,0.693215,-4.82344,-1.66435,0.693215,0
1,18,64,0.639489,1.24928,-3.84075,-0.813937,0.639489,1
1,17,64,0.703286,1.09704,-3.84075,-0.813937,1.09704,1
1,15,64,1.40735,0.624025,-3.84075,-0.813937,0.624025,0
1,13,64,1.04912,1.34798,-3.84075,-0.813937,1.34798,1
1,9,64,1.84715,1.55005,-3.84075,-0.813937,1.55005,0
1,7,64,1.68561,1.70787,-3.84075,-0.813937,1.70787,1
1,4,64,1.83121,2.14455,-3.84075,-0.813937,2.14455,1
1,3,64,1.76591,1.9311,-3.84075,-0.813937,1.9311,1
1,2,64,1.75044,2.02298,-3.84075,-0.813937,2.02298,1
1,1,64,1.68218,1.74683,-3.84075,-0.813937,1.74683,1
1,20,63,0.463606,0.554347,-4.03562,-0.692524,0.554347,1
1,19,63,0.975295,0.589159,-4.03562,-0.692524,0.589159,0
1,18,63,0.523083,1.10108,-4.03562,-0.692524,1.10108,1
1,17,63,0.657283,1.16746,-4.03562,-0.692524,1.16746,1
1,15,63,1.45929,0.784061,-4.03562,-0.692524,0.784061,0
1,13,63,1.18248,1.34161,-4.03562,-0.692524,1.34161,1
1,12,63,1.33452,2.02363,-4.03562,-0.692524,2.02363,1
1,7,63,1.73388,1.74078,-4.03562,-0.692524,1.74078,1
1,16,95,-0.982664,0.114024,-3.41916,-2.85377,0.114024,1
1,5,95,-0.423439,0.130636,-3.41916,-2.85377,0.130636,1
1,6,63,1.82343,1.18948,-4.03562,-0.692524,1.18948,0
1,5,63,1.88259,1.95888,-4.03562,-0.692524,1.95888,1
1,4,63,1.92653,2.22805,-4.03562,-0.692524,2.22805,1
1,2,63,1.79799,1.96843,-4.03562,-0.692524,1.96843,1
1,20,62,0.291681,0.451073,-3.86868,-0.735614,0.451073,1
1,19,62,0.833467,0.597031,-3.86868,-0.735614,0.597031,0
1,18,62,0.747271,1.07952,-3.86868,-0.735614,1.07952,1
1,17,62,0.469829,1.14649,-3.86868,-0.735614,1.14649,1
1,15,62,1.41588,0.826767,-3.86868,-0.735614,0.826767,0
1,13,62,1.12034,1.35104,-3.86868,-0.735614,1.35104,1
1,12,62,1.23317,2.04184,-3.86868,-0.735614,2.04184,1
1,7,62,1.7079,1.83658,-3.86868,-0.735614,1.83658,1
1,16,92,-0.790424,0.355368,-6.43894,-2.39982,-0.790424,1
1,5,88,0.0125933,0.716158,-5.55605,-2.24038,0.716158,1
1,6,62,2.00597,1.28024,-3.86868,-0.735614,1.28024,0
1,5,62,1.94882,2.07385,-3.86868,-0.735614,1.94882,1
1,4,62,1.99206,2.41112,-3.86868,-0.735614,2.41112,1
1,2,62,1.85598,2.10358,-3.86868,-0.735614,2.10358,1
1,20,61,0.811821,0.957417,-3.77303,-0.607646,0.957417,1
1,19,61,0.885418,0.576183,-3.77303,-0.607646,0.885418,0
1,18,61,0.729041,1.06915,-3.77303,-0.607646,1.06915,1
1,17,61,0.815567,1.32537,-3.77303,-0.607646,1.32537,1
1,15,61,1.34728,0.734148,-3.77303,-0.607646,0.734148,0
1,13,61,1.29658,1.34202,-3.77303,-0.607646,1.34202,1
1,12,61,1.29605,1.93656,-3.77303,-0.607646,1.93656,1
1,7,61,1.93031,2.04925,-3.77303,-0.607646,2.04925,1
1,5,93,-0.240066,0.408664,-3.41916,-2.51688,0.408664,1
1,16,89,-0.559028,0.414483,-5.75042,-2.39784,0.414483,1
1,6,61,2.18447,1.23913,-3.77303,-0.607646,1.23913,0
1,5,61,2.00318,2.07224,-3.77303,-0.607646,2.07224,1
1,2,61,1.88182,2.2108,-3.77303,-0.607646,2.2108,1
1,20,60,0.889018,1.04422,-3.62281,-0.563066,1.04422,1
1,18,60,0.68408,1.18522,-3.62281,-0.563066,1.18522,1
1,15,60,1.26917,0.664502,-3.62281,-0.563066,0.664502,0
1,13,60,1.27138,1.28064,-3.62281,-0.563066,1.28064,1
1,12,60,1.46178,1.92177,-3.62281,-0.563066,1.92177,1
1,8,24,4.624,5.08871,2.20454,-0.805878,5.08871,1
1,11,60,1.37945,1.42081,-3.62281,-0.563066,1.42081,1
